code,docid,submit,period,dtype,ca,inv,liab,ta,na,solo,mixed,bs_ok
9252,S100X7D0,2025-11-28,2025-08-31,120,5634855000.0,,6832441000.0,11186814000.0,4354374000.0,0,0,1
7180,S100X79Y,2025-11-28,2026-03-31,160,4364000000.0,56000000.0,12774276000000.0,13519424000000.0,745147000000.0,0,1,1
5026,S100X79V,2025-11-28,2025-08-31,120,3056397000.0,335000.0,3179689000.0,4845099000.0,1665409000.0,0,0,1
8306,S100X791,2025-11-28,2026-03-31,160,1143073000000.0,,382079899000000.0,404318108000000.0,22238209000000.0,0,1,1
8630,S100X77U,2025-11-28,2026-03-31,160,302554000000.0,327071000000.0,11558898000000.0,16356544000000.0,4797646000000.0,0,1,1
8336,S100X77Q,2025-11-28,2026-03-31,160,,,5255758000000.0,5536755000000.0,280997000000.0,0,0,1
9983,S100X6X6,2025-11-28,2025-08-31,120,2527815000000.0,,1531852000000.0,3859353000000.0,2327501000000.0,0,0,1
5844,S100X6SF,2025-11-28,2026-03-31,160,7788000000.0,,10910671000000.0,12155790000000.0,1245119000000.0,0,1,1
6255,S100X6PR,2025-11-28,2025-08-31,120,9649605000.0,,2075922000.0,12911537000.0,10835614000.0,0,0,1
8341,S100X6MP,2025-11-28,2026-03-31,160,,,9728883000000.0,10376266000000.0,647383000000.0,0,0,1
3560,S100X6M7,2025-11-28,2025-08-31,120,4889692000.0,401605000.0,2024547000.0,6918112000.0,4893564000.0,1,0,1
8783,S100X79I,2025-11-27,2025-08-31,120,6252804000.0,1325682000.0,4601464000.0,9031927000.0,4430463000.0,0,0,1
5129,S100X770,2025-11-27,2025-08-31,120,4144000000.0,53000000.0,685000000.0,4493000000.0,3807000000.0,0,0,1
9560,S100X76V,2025-11-27,2025-08-31,120,3700259000.0,34990000.0,2205269000.0,4486002000.0,2280733000.0,1,0,1
3046,S100X74E,2025-11-27,2025-08-31,120,28650000000.0,1623000000.0,26124000000.0,57866000000.0,31742000000.0,0,0,1
7352,S100X747,2025-11-27,2025-08-31,120,7216730000.0,40278000.0,6479938000.0,9947870000.0,3467931000.0,0,0,1
3987,S100X72V,2025-11-27,2025-08-31,120,1916190000.0,163497000.0,1774782000.0,2558989000.0,784207000.0,0,0,1
245A,S100X72L,2025-11-27,2025-08-31,120,1964781000.0,,2603203000.0,4563617000.0,1960414000.0,1,0,1
8304,S100X70Q,2025-11-27,2026-03-31,160,,,7692269000000.0,8165591000000.0,473322000000.0,0,0,1
7350,S100X6ZU,2025-11-27,2026-03-31,160,547000000.0,,2797435000000.0,2958261000000.0,160825000000.0,0,1,1
7351,S100X6Y8,2025-11-27,2025-08-31,120,3395698000.0,1310160000.0,1100250000.0,5245428000.0,4145177000.0,0,0,1
5580,S100X6Y2,2025-11-27,2025-08-31,120,1292812000.0,,758073000.0,1712981000.0,954907000.0,0,0,1
8421,S100X6WO,2025-11-27,2026-03-31,160,,,46789966000000.0,48397613000000.0,1607646000000.0,0,0,1
8367,S100X6W5,2025-11-27,2026-03-31,160,,,6458214000000.0,6761346000000.0,303131000000.0,0,0,1
7445,S100X6V7,2025-11-27,2025-08-31,120,6986000000.0,4000000.0,11497000000.0,11994000000.0,496000000.0,1,0,1
4433,S100X6V1,2025-11-27,2025-08-31,120,25939000000.0,600000000.0,21915000000.0,40822000000.0,18907000000.0,0,0,1
4412,S100X6RV,2025-11-27,2025-08-31,120,1834628000.0,10000000.0,683834000.0,2077806000.0,1393972000.0,1,0,1
8542,S100X6PQ,2025-11-27,2026-03-31,160,,,1300719000000.0,1357874000000.0,57155000000.0,0,0,1
8522,S100X6NB,2025-11-27,2026-03-31,160,,,5803660000000.0,6101086000000.0,297425000000.0,0,0,1
8729,S100X6ML,2025-11-27,2026-03-31,160,173640000000.0,205000000.0,23458566000000.0,24106679000000.0,648113000000.0,0,1,1
6522,S100X66T,2025-11-27,2025-08-31,120,1729612000.0,101250000.0,1051988000.0,2781213000.0,1729225000.0,0,0,1
8359,S100X62S,2025-11-27,2026-03-31,160,,,12471469000000.0,13512592000000.0,1041123000000.0,0,0,1
8338,S100X5ZP,2025-11-27,2026-03-31,160,,,2767658000000.0,2870360000000.0,102701000000.0,0,0,1
8309,S100X5XZ,2025-11-27,2026-03-31,160,66253000000.0,641000000.0,79320627000000.0,82614844000000.0,3294216000000.0,0,1,1
8334,S100X5A1,2025-11-27,2026-03-31,160,,,10067007000000.0,10666018000000.0,599010000000.0,0,0,1
2164,S100X6X1,2025-11-26,2025-08-31,120,1038193000.0,62696000.0,1646260000.0,2299493000.0,653233000.0,1,0,1
2927,S100X6W8,2025-11-26,2025-08-31,120,22325077000.0,568050000.0,33526515000.0,48726913000.0,15200398000.0,0,0,1
3647,S100X6VP,2025-11-26,2025-08-31,120,1082034000.0,,528077000.0,1223824000.0,695747000.0,0,0,1
6668,S100X6VA,2025-11-26,2025-08-31,120,21204000000.0,450000000.0,14035000000.0,27219000000.0,13183000000.0,0,0,1
325A,S100X6TZ,2025-11-26,2025-08-31,120,6703054000.0,9217000.0,2884017000.0,7538293000.0,4654275000.0,1,0,1
3498,S100X6TA,2025-11-26,2025-08-31,120,87339000000.0,10658000000.0,83494000000.0,121688000000.0,38193000000.0,0,0,1
244A,S100X6ST,2025-11-26,2025-08-31,120,3135487000.0,525005000.0,1348976000.0,4726352000.0,3377376000.0,0,0,1
156A,S100X6SQ,2025-11-26,2025-08-31,120,2454902000.0,,1684035000.0,3896486000.0,2212450000.0,0,0,1
9978,S100X6SE,2025-11-26,2025-08-31,120,7288639000.0,69313000.0,8403203000.0,9559279000.0,1156076000.0,0,0,1
3174,S100X6RU,2025-11-26,2025-08-31,120,4764115000.0,54263000.0,5451767000.0,5650695000.0,198928000.0,0,0,1
8904,S100X6R9,2025-11-26,2025-08-31,120,61148568000.0,559260000.0,43059218000.0,71081758000.0,28022540000.0,0,0,1
7065,S100X6QU,2025-11-26,2025-08-31,120,6182679000.0,101157000.0,12653458000.0,21956241000.0,9302782000.0,0,0,1
2736,S100X6QO,2025-11-26,2025-08-31,120,5662730000.0,92276000.0,5525097000.0,7189331000.0,1664234000.0,0,0,1
276A,S100X6P1,2025-11-26,2025-08-31,120,3217408000.0,,1696207000.0,3791752000.0,2095545000.0,0,0,1
2449,S100X6O3,2025-11-26,2025-08-31,120,5958117000.0,323047000.0,1408114000.0,7008511000.0,5600396000.0,0,0,1
373A,S100X6NP,2025-11-26,2025-08-31,120,3943738000.0,,456132000.0,4073825000.0,3617693000.0,1,0,1
4440,S100X6ND,2025-11-26,2025-08-31,120,2813136000.0,297588000.0,1234365000.0,4072109000.0,2837744000.0,0,0,1
7818,S100X6MS,2025-11-26,2025-08-31,120,15731915000.0,4652600000.0,4134816000.0,23798171000.0,19663355000.0,0,0,1
8560,S100X6MQ,2025-11-26,2026-03-31,160,,,777029000000.0,824596000000.0,47566000000.0,0,0,1
4370,S100X6MF,2025-11-26,2025-08-31,120,1404465000.0,,776346000.0,2229192000.0,1452846000.0,0,0,1
3440,S100X6MC,2025-11-26,2025-08-31,120,15832000000.0,991000000.0,14299000000.0,26948000000.0,12648000000.0,0,0,1
8399,S100X6KD,2025-11-26,2026-03-31,160,,,2939252000000.0,3085537000000.0,146285000000.0,0,0,1
7219,S100X6JZ,2025-11-26,2025-08-31,120,6985858000.0,671450000.0,2582782000.0,13233708000.0,10650925000.0,0,0,1
4397,S100X6JN,2025-11-26,2025-08-31,120,3676953000.0,,2848914000.0,4472837000.0,1623923000.0,0,0,1
6289,S100X6JF,2025-11-26,2025-08-31,120,23849000000.0,2220000000.0,7551000000.0,47837000000.0,40285000000.0,0,0,1
3536,S100X6JA,2025-11-26,2025-08-31,120,7833414000.0,197355000.0,13485288000.0,15683435000.0,2198146000.0,0,0,1
8713,S100X6IK,2025-11-26,2026-03-31,160,1002000000.0,,2837561000000.0,2922500000000.0,84938000000.0,0,1,1
5838,S100X6GP,2025-11-26,2026-03-31,160,,,15354260000000.0,15710355000000.0,356095000000.0,0,0,1
1434,S100X6GM,2025-11-26,2025-08-31,120,14205868000.0,254604000.0,10086301000.0,17647633000.0,7561332000.0,0,0,1
8395,S100X6FX,2025-11-26,2026-03-31,160,,,3080183000000.0,3203327000000.0,123144000000.0,0,0,1
4199,S100X6FE,2025-11-26,2025-08-31,120,1730094000.0,0.0,1389297000.0,1984664000.0,595367000.0,1,0,1
8349,S100X6F4,2025-11-26,2026-03-31,160,,,1001200000000.0,1037959000000.0,36758000000.0,0,0,1
9418,S100X6EF,2025-11-26,2025-08-31,120,172358000000.0,1508000000.0,151074000000.0,259782000000.0,108708000000.0,0,0,1
5831,S100X6DV,2025-11-26,2026-03-31,160,59386000000.0,,14545484000000.0,15793072000000.0,1247588000000.0,0,1,1
7928,S100X6CC,2025-11-26,2025-08-31,120,3157478000.0,224952000.0,1387168000.0,6678137000.0,5290968000.0,0,0,1
7380,S100X68Z,2025-11-26,2026-03-31,160,4048000000.0,,7106745000000.0,7563306000000.0,456560000000.0,0,1,1
7805,S100X68N,2025-11-26,2025-08-31,120,3325265000.0,96036000.0,3317858000.0,7488080000.0,4170221000.0,1,0,1
367A,S100X66L,2025-11-26,2025-08-31,120,12512000000.0,,27896000000.0,45949000000.0,18052000000.0,0,0,1
8344,S100X5RJ,2025-11-26,2026-03-31,160,,,3010149000000.0,3160488000000.0,150338000000.0,0,0,1
4760,S100X5LJ,2025-11-26,2025-08-31,120,2365706000.0,19986000.0,3010569000.0,4533668000.0,1523098000.0,0,0,1
9331,S100X1KO,2025-11-26,2025-08-31,120,1525892000.0,,1162330000.0,1872251000.0,709921000.0,0,0,1
2484,S100X153,2025-11-26,2025-08-31,120,38440000000.0,,10222000000.0,38848000000.0,28625000000.0,0,0,1
8551,S100WYK4,2025-11-26,2026-03-31,160,,,1451196000000.0,1542494000000.0,91297000000.0,0,0,1
5574,S100X6IA,2025-11-25,2025-08-31,120,5104545000.0,,846438000.0,5318174000.0,4471736000.0,1,0,1
3991,S100X6HU,2025-11-25,2025-08-31,120,6675781000.0,320000.0,2247720000.0,7158262000.0,4910541000.0,0,0,1
3045,S100X6HQ,2025-11-25,2025-08-31,120,1136232000.0,,2303058000.0,8058568000.0,5755510000.0,1,0,1
414A,S100X6HK,2025-11-25,2025-08-31,120,6539000000.0,,10447000000.0,18575000000.0,8128000000.0,0,0,1
4439,S100X6GX,2025-11-25,2025-08-31,120,14711856000.0,22554000.0,6786045000.0,16583949000.0,9797903000.0,0,0,1
2999,S100X6G1,2025-11-25,2025-08-31,120,13808662000.0,,8704184000.0,14473408000.0,5769223000.0,1,0,1
8393,S100X6FY,2025-11-25,2026-03-31,160,,,3872489000000.0,4079253000000.0,206764000000.0,0,0,1
6025,S100X6F1,2025-11-25,2025-08-31,120,1833680000.0,21143000.0,2023647000.0,2299864000.0,276217000.0,0,0,1
5578,S100X6EQ,2025-11-25,2025-08-31,120,5023198000.0,50248000.0,4593911000.0,6762941000.0,2169029000.0,0,0,1
6264,S100X6CU,2025-11-25,2025-08-31,120,10477608000.0,,17271927000.0,25423446000.0,8151519000.0,0,0,1
9270,S100X6BK,2025-11-25,2025-08-31,120,20043532000.0,0.0,23262088000.0,30938347000.0,7676259000.0,0,0,1
7167,S100X6B7,2025-11-25,2026-03-31,160,7504000000.0,,19945074000000.0,20976744000000.0,1031670000000.0,0,1,1
7035,S100X6AI,2025-11-25,2025-08-31,120,1840487000.0,45832000.0,1127644000.0,2020456000.0,892811000.0,0,0,1
8354,S100X69X,2025-11-25,2026-03-31,160,4995000000.0,,32194047000000.0,33212213000000.0,1018165000000.0,0,1,1
8398,S100X69P,2025-11-25,2026-03-31,160,,,878488000000.0,914674000000.0,36185000000.0,0,0,1
1407,S100X68L,2025-11-25,2025-08-31,120,89170000000.0,1722000000.0,112008000000.0,148546000000.0,36537000000.0,0,0,1
7514,S100X67D,2025-11-25,2025-08-31,120,22955000000.0,618000000.0,18336000000.0,34667000000.0,16331000000.0,0,0,1
7150,S100X63X,2025-11-25,2026-03-31,160,,,560030000000.0,574602000000.0,14572000000.0,0,0,1
8392,S100X630,2025-11-25,2026-03-31,160,,,4255604000000.0,4481088000000.0,225484000000.0,0,0,1
2735,S100X626,2025-11-25,2025-08-31,120,21185526000.0,360046000.0,14480820000.0,27510760000.0,13029940000.0,0,0,1
8343,S100X61D,2025-11-25,2026-03-31,160,,,3400218000000.0,3574997000000.0,174779000000.0,0,0,1
7189,S100X600,2025-11-25,2026-03-31,160,13002000000.0,17000000.0,12871445000000.0,13464572000000.0,593126000000.0,0,1,1
7581,S100X5Z0,2025-11-25,2025-08-31,120,96465000000.0,,62289000000.0,179446000000.0,117157000000.0,0,0,1
8331,S100X5YY,2025-11-25,2026-03-31,160,,,19711947000000.0,20943626000000.0,1231679000000.0,0,0,1
9264,S100X5TH,2025-11-25,2025-08-31,120,8088596000.0,257765000.0,10829393000.0,15085165000.0,4255771000.0,0,0,1
8366,S100X5T1,2025-11-25,2026-03-31,160,,,7104795000000.0,7589627000000.0,484832000000.0,0,0,1
8714,S100X5RZ,2025-11-25,2026-03-31,160,729000000.0,,6315396000000.0,6563376000000.0,247980000000.0,0,1,1
4015,S100X5MX,2025-11-25,2025-08-31,120,6143599000.0,32439000.0,4879389000.0,9409689000.0,4530300000.0,0,0,1
9979,S100X5DP,2025-11-25,2025-08-31,120,11486000000.0,1087000000.0,18236000000.0,29523000000.0,11286000000.0,0,0,1
7389,S100WZ7X,2025-11-25,2026-03-31,160,1798000000.0,,6501866000000.0,6899619000000.0,397752000000.0,0,1,1
8541,S100X659,2025-11-21,2026-03-31,160,,,2848081000000.0,2990935000000.0,142853000000.0,0,0,1
190A,S100X63V,2025-11-21,2025-08-31,120,2669033000.0,,244338000.0,2681349000.0,2437010000.0,1,0,1
3697,S100X63F,2025-11-21,2025-08-31,120,43123000000.0,9583000000.0,35963000000.0,77001000000.0,41037000000.0,0,0,1
3815,S100X62P,2025-11-21,2025-08-31,120,1860331000.0,0.0,1569625000.0,2277626000.0,708001000.0,0,0,1
8416,S100X627,2025-11-21,2026-03-31,160,,,1106404000000.0,1162081000000.0,55676000000.0,0,0,1
7085,S100X61U,2025-11-21,2025-08-31,120,16916000000.0,,19045000000.0,39205000000.0,20160000000.0,0,0,1
5832,S100X61G,2025-11-21,2026-03-31,160,10306000000.0,3000000000.0,10676816000000.0,11270811000000.0,593995000000.0,0,1,1
8418,S100X60B,2025-11-21,2026-03-31,160,15240000000.0,9911000000.0,12318314000000.0,12983498000000.0,665183000000.0,0,1,1
8345,S100X5ZS,2025-11-21,2026-03-31,160,,,3620549000000.0,3814826000000.0,194276000000.0,0,0,1
8358,S100X5ZC,2025-11-21,2026-03-31,160,,,3130776000000.0,3433830000000.0,303053000000.0,0,0,1
8554,S100X5UU,2025-11-21,2026-03-31,160,,,804238000000.0,847415000000.0,43176000000.0,0,0,1
7337,S100X5TI,2025-11-21,2026-03-31,160,16578000000.0,,11956664000000.0,12503943000000.0,547278000000.0,0,1,1
8381,S100X5SX,2025-11-21,2026-03-31,160,,,8172586000000.0,8495593000000.0,323006000000.0,0,0,1
7173,S100X5SN,2025-11-21,2026-03-31,160,6527000000.0,520000000.0,6997836000000.0,7396042000000.0,398205000000.0,0,1,1
8362,S100X5SL,2025-11-21,2026-03-31,160,,,4119898000000.0,4266452000000.0,146553000000.0,0,0,1
7322,S100X5S5,2025-11-21,2026-03-31,160,2138000000.0,85000000.0,4333413000000.0,4555028000000.0,221614000000.0,0,1,1
8370,S100X5QS,2025-11-21,2026-03-31,160,,,5790703000000.0,6038284000000.0,247580000000.0,0,0,1
8383,S100X5QP,2025-11-21,2026-03-31,160,,,1066320000000.0,1116135000000.0,49814000000.0,0,0,1
7326,S100X5QM,2025-11-21,2026-03-31,160,1052000000.0,,177325000000.0,222403000000.0,45078000000.0,0,1,1
8563,S100X5QA,2025-11-21,2025-09-30,160,,,834881000000.0,867743000000.0,32862000000.0,0,0,1
7453,S100X5NI,2025-11-21,2025-08-31,120,367068000000.0,2841000000.0,226828000000.0,562749000000.0,335920000000.0,0,0,1
7181,S100X5N1,2025-11-21,2026-03-31,160,,,55188367000000.0,58988356000000.0,3799988000000.0,0,0,1
3607,S100X5IQ,2025-11-21,2025-08-31,120,3705799000.0,27008000.0,8657732000.0,12625436000.0,3967703000.0,0,0,1
8308,S100X5DZ,2025-11-21,2026-03-31,160,114626000000.0,1310000000.0,73414528000000.0,76319330000000.0,2904802000000.0,0,1,1
7184,S100X573,2025-11-21,2026-03-31,160,,,1462992000000.0,1638688000000.0,175696000000.0,0,0,1
7182,S100X21W,2025-11-21,2026-03-31,160,,,223626169000000.0,232938414000000.0,9312245000000.0,0,0,1
8795,S100X5YR,2025-11-20,2026-03-31,160,107311000000.0,,15661735000000.0,17182186000000.0,1520450000000.0,0,1,1
4176,S100X5W6,2025-11-20,2025-08-31,120,4248143000.0,,3907972000.0,6325234000.0,2417262000.0,0,0,1
3168,S100X5OB,2025-11-20,2025-08-31,120,21211871000.0,849566000.0,16487204000.0,25705307000.0,9218102000.0,0,0,1
6199,S100X5OA,2025-11-20,2025-08-31,120,10911126000.0,3496000.0,4421562000.0,13324336000.0,8902774000.0,0,0,1
6159,S100X5M8,2025-11-20,2025-08-31,120,11054380000.0,1831389000.0,1931362000.0,15564724000.0,13633362000.0,0,0,1
7381,S100X5M1,2025-11-20,2026-03-31,160,17769000000.0,,5957453000000.0,6211055000000.0,253602000000.0,0,1,1
4728,S100X5JM,2025-11-20,2025-08-31,120,4325383000.0,685015000.0,1674438000.0,7836334000.0,6161896000.0,0,0,1
4668,S100X5JB,2025-11-20,2025-08-31,120,12210000000.0,3787000000.0,6564000000.0,19150000000.0,12585000000.0,0,0,1
7384,S100X5IP,2025-11-20,2026-03-31,160,4124000000.0,,5950830000000.0,6116691000000.0,165860000000.0,0,1,1
8544,S100X5IG,2025-11-20,2025-09-30,160,,,6275723000000.0,6601903000000.0,326179000000.0,0,0,1
8127,S100X5IF,2025-11-20,2025-08-31,120,10308720000.0,5902647000.0,5986692000.0,23301133000.0,17314441000.0,0,0,1
8337,S100X5EO,2025-11-20,2026-03-31,160,,,3117672000000.0,3303720000000.0,186047000000.0,0,0,1
8368,S100X519,2025-11-20,2026-03-31,160,,,7077760000000.0,7557938000000.0,480178000000.0,0,0,1
8537,S100X4ZW,2025-11-20,2026-03-31,160,,,1625121000000.0,1706112000000.0,80990000000.0,0,0,1
7607,S100X5L9,2025-11-19,2025-08-31,120,62290395000.0,2680182000.0,30799924000.0,74409241000.0,43609317000.0,0,0,1
3048,S100X5J8,2025-11-19,2025-08-31,120,278158000000.0,32642000000.0,280764000000.0,492531000000.0,211767000000.0,0,0,1
8766,S100X5HN,2025-11-19,2026-03-31,160,6468000000.0,,25855457000000.0,30880533000000.0,5025075000000.0,0,1,1
8725,S100X5HE,2025-11-19,2026-03-31,160,123466000000.0,188161000000.0,22892895000000.0,27283536000000.0,4390641000000.0,0,1,1
8559,S100X5H8,2025-11-19,2026-03-31,160,,,566627000000.0,594215000000.0,27587000000.0,1,0,1
8365,S100X5ES,2025-11-19,2026-03-31,160,,,544083000000.0,575440000000.0,31357000000.0,0,0,1
7447,S100X5AK,2025-11-19,2025-08-31,120,36200109000.0,212465000.0,3373763000.0,44692182000.0,41318419000.0,0,0,1
1997,S100X59V,2025-11-19,2025-08-31,120,7209851000.0,994546000.0,3417410000.0,10971640000.0,7554229000.0,1,0,1
8254,S100X51A,2025-11-19,2025-08-31,120,2186889000.0,288395000.0,11102034000.0,11894024000.0,791990000.0,0,0,1
8360,S100X492,2025-11-19,2026-03-31,160,,,4356537000000.0,4588010000000.0,231473000000.0,0,0,1
7730,S100X59Q,2025-11-18,2025-08-31,120,29978000000.0,63000000.0,4425000000.0,57987000000.0,53561000000.0,0,0,1
9414,S100X54M,2025-11-18,2025-08-31,120,17223341000.0,2615358000.0,2472170000.0,26898356000.0,24426185000.0,0,0,1
8600,S100X4NO,2025-11-18,2026-03-31,160,5802000000.0,,4846827000000.0,5137143000000.0,290315000000.0,0,1,1
8346,S100X2WQ,2025-11-18,2025-09-30,160,,,6434868000000.0,6643796000000.0,208928000000.0,0,0,1
7513,S100X50A,2025-11-17,2025-08-31,120,84024000000.0,,50538000000.0,120786000000.0,70247000000.0,1,0,1
8364,S100X4RH,2025-11-17,2026-03-31,160,,,1709459000000.0,1788493000000.0,79033000000.0,0,0,1
7186,S100X4N3,2025-11-17,2026-03-31,160,15696000000.0,25000000.0,23423785000000.0,24808741000000.0,1384956000000.0,0,1,1
3079,S100X4C4,2025-11-14,2026-03-31,160,22013132000.0,337743000.0,16058424000.0,24726201000.0,8667777000.0,0,0,1
7600,S100X3P4,2025-11-14,2026-03-31,160,22928889000.0,,8341847000.0,32677914000.0,24336067000.0,0,0,1
5011,S100X3N0,2025-11-14,2026-03-31,160,48534000000.0,10901000000.0,33012000000.0,108852000000.0,75839000000.0,0,0,1
7555,S100X3MQ,2025-11-14,2026-03-31,160,3340000000.0,,2736000000.0,7864000000.0,5128000000.0,0,0,1
9628,S100X3M7,2025-11-14,2026-08-31,160,10978000000.0,224000000.0,21749000000.0,59513000000.0,37763000000.0,0,0,1
5989,S100X2WV,2025-11-13,2026-03-31,160,91459000000.0,,120660000000.0,191733000000.0,71072000000.0,0,0,1
6803,S100X0X4,2025-11-13,2025-09-30,160,8691000000.0,,7585000000.0,10914000000.0,3329000000.0,0,0,1
6615,S100X2B1,2025-11-12,2025-09-30,160,44367000000.0,,56842000000.0,72724000000.0,15881000000.0,0,0,1
