Datetime,Open,High,Low,Close,Volume
2026-09-14 09:00:00+09:00,63659.53125,63691.53125,63352.890625,63384.98046875,0
2026-09-14 09:05:00+09:00,63411.44140625,63490.46875,63132.78125,63156.1796875,0
2026-09-14 09:10:00+09:00,63154.4296875,63224.078125,62973.66015625,62991.640625,0
2026-09-14 09:15:00+09:00,63008.51953125,63008.51953125,62798.5703125,62852.51953125,0
2026-09-14 09:20:00+09:00,62825.28125,62921.01953125,62736.7109375,62829.109375,0
2026-09-14 09:25:00+09:00,62826.30859375,62844.08984375,62726.1796875,62810.2890625,0
2026-09-14 09:30:00+09:00,62819.51953125,62995.69921875,62819.51953125,62989.28125,0
2026-09-14 09:35:00+09:00,62954.109375,63006.01171875,62937.76171875,62969.640625,0
2026-09-14 09:40:00+09:00,62977.2109375,63279.0,62966.46875,63279.0,0
2026-09-14 09:45:00+09:00,63276.28125,63276.28125,63153.859375,63156.8203125,0
2026-09-14 09:50:00+09:00,63151.41015625,63226.30078125,63033.58984375,63039.03125,0
2026-09-14 09:55:00+09:00,63038.1484375,63080.19140625,62946.828125,62950.26171875,0
2026-09-14 10:00:00+09:00,62936.05078125,63090.78125,62912.859375,63056.23828125,0
2026-09-14 10:05:00+09:00,63026.12109375,63052.37109375,62946.7109375,63045.609375,0
2026-09-14 10:10:00+09:00,63039.28125,63070.71875,62910.4609375,62973.26953125,0
2026-09-14 10:15:00+09:00,62946.01171875,62984.0390625,62896.421875,62930.1484375,0
2026-09-14 10:20:00+09:00,62915.859375,62955.53125,62878.921875,62950.66015625,0
2026-09-14 10:25:00+09:00,62947.8203125,63010.328125,62918.3984375,62991.83984375,0
2026-09-14 10:30:00+09:00,62999.5,63077.51953125,62935.4296875,62935.4296875,0
2026-09-14 10:35:00+09:00,62939.828125,63107.1796875,62939.828125,63104.33984375,0
2026-09-14 10:40:00+09:00,63115.71875,63115.71875,63040.421875,63047.8203125,0
2026-09-14 10:45:00+09:00,63052.671875,63180.078125,63051.62109375,63163.578125,0
2026-09-14 10:50:00+09:00,63159.5,63289.37890625,63119.46875,63241.7109375,0
2026-09-14 10:55:00+09:00,63238.26953125,63368.53125,63194.8515625,63334.80859375,0
2026-09-14 11:00:00+09:00,63329.3984375,63359.48046875,63304.3984375,63330.91015625,0
2026-09-14 11:05:00+09:00,63332.91015625,63456.578125,63331.30859375,63404.55078125,0
2026-09-14 11:10:00+09:00,63406.4609375,63440.8203125,63352.578125,63440.8203125,0
2026-09-14 11:15:00+09:00,63435.98828125,63470.4609375,63382.078125,63443.7890625,0
2026-09-14 11:20:00+09:00,63439.98046875,63509.80078125,63415.58984375,63502.23828125,0
2026-09-14 11:25:00+09:00,63498.23828125,63517.01953125,63469.05078125,63506.171875,0
2026-09-14 11:30:00+09:00,63498.609375,63498.609375,63498.609375,63498.609375,0
