Date,Open,High,Low,Close,Volume,Adj Close
2024-09-09,29585.0,30110.0,29500.0,30080.0,1737.0,28731.771484375
2024-09-10,29780.0,29780.0,29250.0,29375.0,8121.0,28058.369140625
2024-09-11,29375.0,29400.0,28910.0,28975.0,555.0,27676.296875
2024-09-12,29400.0,29400.0,29035.0,29175.0,326.0,27867.33203125
2024-09-13,29280.0,29310.0,28720.0,28765.0,354.0,27475.708984375
2024-09-17,28780.0,28930.0,28345.0,28660.0,1648.0,27375.416015625
2024-09-18,28825.0,28825.0,28220.0,28445.0,1203.0,27170.052734375
2024-09-19,28805.0,29085.0,28705.0,28705.0,865.0,27418.3984375
2024-09-20,28900.0,29115.0,28800.0,28800.0,1690.0,27509.140625
2024-09-24,29370.0,29370.0,28390.0,28675.0,5766.0,27389.744140625
2024-09-25,28780.0,28780.0,28305.0,28420.0,196.0,27146.173828125
2024-09-26,28795.0,28880.0,28490.0,28875.0,255.0,27580.779296875
2024-09-27,29290.0,29295.0,28635.0,29105.0,453.0,27800.470703125
2024-09-30,28410.0,28600.0,27980.0,28600.0,5447.0,27318.10546875
2024-10-01,28750.0,28750.0,28340.0,28595.0,308.0,27313.330078125
2024-10-02,28525.0,28595.0,28290.0,28365.0,978.0,27093.638671875
2024-10-03,28600.0,29050.0,28600.0,28980.0,647.0,27681.07421875
2024-10-04,29005.0,29180.0,28950.0,29140.0,183.0,27833.90234375
2024-10-07,29680.0,29680.0,29220.0,29350.0,454.0,28034.490234375
2024-10-08,29100.0,29100.0,28975.0,29085.0,323.0,27781.3671875
2024-10-09,29305.0,29430.0,29225.0,29390.0,193.0,28072.697265625
2024-10-10,29655.0,29700.0,29510.0,29605.0,309.0,28278.060546875
2024-10-11,29710.0,29710.0,29500.0,29520.0,500.0,28196.869140625
2024-10-15,29930.0,30060.0,29710.0,29765.0,634.0,28430.888671875
2024-10-16,29420.0,29545.0,29280.0,29350.0,318.0,28034.490234375
2024-10-17,29380.0,29410.0,29245.0,29365.0,268.0,28048.81640625
2024-10-18,29380.0,29750.0,29380.0,29700.0,187.0,28368.802734375
2024-10-21,29605.0,29640.0,29385.0,29640.0,74.0,28311.490234375
2024-10-22,29635.0,29635.0,29190.0,29340.0,85.0,28024.9375
2024-10-23,29340.0,29445.0,29180.0,29200.0,179.0,27891.212890625
2024-10-24,29060.0,29315.0,28980.0,29135.0,172.0,27829.126953125
2024-10-25,29155.0,29155.0,28770.0,28805.0,162.0,27513.91796875
2024-10-28,28720.0,29690.0,28720.0,29650.0,413.0,28321.04296875
2024-10-29,29710.0,29985.0,29675.0,29950.0,141.0,28607.59765625
2024-10-30,29950.0,30120.0,29890.0,29985.0,333.0,28641.02734375
2024-10-31,29875.0,29920.0,29550.0,29915.0,807.0,28574.1640625
2024-11-01,29420.0,29900.0,29375.0,29565.0,263.0,28239.853515625
2024-11-05,29575.0,30100.0,29280.0,30100.0,213.0,28750.873046875
2024-11-06,29925.0,29925.0,29370.0,29720.0,424.0,28387.904296875
2024-11-07,29625.0,29755.0,29275.0,29755.0,492.0,28421.337890625
2024-11-08,29380.0,29805.0,29380.0,29475.0,530.0,28153.88671875
2024-11-11,29520.0,29615.0,29420.0,29560.0,147.0,28235.076171875
2024-11-12,29630.0,29680.0,29345.0,29410.0,760.0,28091.80078125
2024-11-13,29110.0,29155.0,28675.0,28745.0,1269.0,27456.60546875
2024-11-14,28800.0,29000.0,28540.0,29000.0,941.0,27700.177734375
2024-11-15,28920.0,28940.0,28825.0,28865.0,214.0,27571.228515625
2024-11-18,28375.0,28375.0,27680.0,27745.0,1541.0,26501.427734375
2024-11-19,28040.0,28040.0,27700.0,27905.0,732.0,26654.2578125
2024-11-20,27905.0,27960.0,27665.0,27820.0,420.0,26573.06640625
2024-11-21,27830.0,27900.0,27615.0,27615.0,839.0,26377.255859375
2024-11-22,27590.0,27640.0,27450.0,27530.0,756.0,26296.064453125
2024-11-25,27705.0,28045.0,27530.0,28045.0,726.0,26787.982421875
2024-11-26,27855.0,27855.0,27400.0,27680.0,450.0,26439.33984375
2024-11-27,27860.0,27915.0,27740.0,27775.0,230.0,26530.083984375
2024-11-28,27940.0,28185.0,27890.0,28185.0,879.0,26921.70703125
2024-11-29,28110.0,28110.0,27855.0,28095.0,499.0,26835.7421875
2024-12-02,28165.0,28440.0,28105.0,28420.0,887.0,27146.173828125
2024-12-03,28665.0,28930.0,28520.0,28920.0,596.0,27623.763671875
2024-12-04,28750.0,28750.0,28520.0,28525.0,172.0,27246.466796875
2024-12-05,29025.0,29025.0,28300.0,28345.0,162.0,27074.53515625
2024-12-06,28345.0,28480.0,28030.0,28120.0,2044.0,26859.619140625
2024-12-09,28120.0,28155.0,28005.0,28065.0,1075.0,26807.083984375
2024-12-10,28065.0,28245.0,27705.0,27705.0,2635.0,26463.220703125
2024-12-11,27760.0,27835.0,27505.0,27670.0,905.0,26429.7890625
2024-12-12,27930.0,27950.0,27725.0,27915.0,692.0,26663.80859375
2024-12-13,27625.0,27625.0,27145.0,27285.0,728.0,26062.046875
2024-12-16,27265.0,27295.0,27100.0,27295.0,220.0,26071.59765625
2024-12-17,27115.0,27265.0,27115.0,27260.0,232.0,26038.166015625
2024-12-18,27180.0,27380.0,27180.0,27380.0,232.0,26152.787109375
2024-12-19,27100.0,27215.0,27050.0,27135.0,139.0,25918.767578125
2024-12-20,27335.0,27365.0,27115.0,27230.0,207.0,26009.51171875
2024-12-23,27230.0,27365.0,27145.0,27360.0,339.0,26133.685546875
2024-12-24,27360.0,27485.0,27360.0,27460.0,352.0,26229.201171875
2024-12-25,27540.0,27540.0,27210.0,27240.0,1414.0,26019.0625
2024-12-26,27370.0,27375.0,27215.0,27270.0,729.0,26047.716796875
2024-12-27,27270.0,27885.0,27270.0,27810.0,367.0,26563.513671875
2024-12-30,27905.0,27905.0,27545.0,27555.0,647.0,26319.9453125
2025-01-06,27685.0,27685.0,27205.0,27210.0,934.0,25990.408203125
2025-01-07,27470.0,27555.0,27400.0,27475.0,98.0,26243.529296875
2025-01-08,27500.0,27500.0,27125.0,27180.0,200.0,25961.751953125
2025-01-09,27255.0,27265.0,27060.0,27110.0,173.0,25894.888671875
2025-01-10,27080.0,27080.0,26715.0,26790.0,766.0,25589.232421875
2025-01-14,26790.0,26820.0,26600.0,26745.0,609.0,25546.25
2025-01-15,26975.0,26990.0,26480.0,26535.0,269.0,25345.662109375
2025-01-16,26605.0,26610.0,26345.0,26355.0,208.0,25173.73046875
2025-01-17,26305.0,26360.0,26120.0,26325.0,133.0,25145.076171875
2025-01-20,26715.0,26950.0,26620.0,26785.0,158.0,25584.455078125
2025-01-21,26980.0,27110.0,26840.0,26870.0,128.0,25665.6484375
2025-01-22,27065.0,27200.0,26870.0,26870.0,55.0,25665.6484375
2025-01-23,27000.0,27000.0,26670.0,26755.0,121.0,25555.80078125
2025-01-24,27015.0,27030.0,26580.0,26580.0,205.0,25388.64453125
2025-01-27,26795.0,27200.0,26795.0,27055.0,144.0,25842.353515625
2025-01-28,27135.0,27410.0,27125.0,27260.0,369.0,26038.166015625
2025-01-29,27275.0,27275.0,27040.0,27040.0,724.0,25828.02734375
2025-01-30,27025.0,27175.0,26975.0,27095.0,404.0,25880.5625
2025-01-31,27290.0,27445.0,27060.0,27060.0,219.0,25847.130859375
2025-02-03,26700.0,27070.0,26175.0,26450.0,438.0,25264.470703125
2025-02-04,26695.0,26695.0,26250.0,26260.0,390.0,25082.98828125
2025-02-05,26260.0,27100.0,25920.0,25945.0,1877.0,24782.107421875
