Date,Open,High,Low,Close,Volume,Adj Close
2024-09-09,15950.0,16430.0,15950.0,16385.0,1434.0,15431.7216796875
2024-09-10,16470.0,16710.0,16425.0,16450.0,1365.0,15492.939453125
2024-09-11,16205.0,16325.0,15995.0,16130.0,1370.0,15191.5576171875
2024-09-12,16405.0,16500.0,16240.0,16405.0,2465.0,15450.5576171875
2024-09-13,16440.0,16440.0,16240.0,16285.0,412.0,15337.5390625
2024-09-17,16210.0,16290.0,15640.0,15900.0,1770.0,14974.9384765625
2024-09-18,15995.0,16100.0,15900.0,15980.0,1103.0,15050.2841796875
2024-09-19,16260.0,16475.0,16260.0,16290.0,8040.0,15342.248046875
2024-09-20,16690.0,16785.0,16530.0,16530.0,1647.0,15568.28515625
2024-09-24,16710.0,16710.0,16450.0,16470.0,3829.0,15511.775390625
2024-09-25,16400.0,16405.0,16100.0,16120.0,3795.0,15182.138671875
2024-09-26,16195.0,16505.0,16175.0,16465.0,1981.0,15507.0673828125
2024-09-27,16745.0,17290.0,16325.0,16415.0,5725.0,15459.9755859375
2024-09-30,16815.0,17465.0,16575.0,16700.0,12854.0,15728.39453125
2024-10-01,16750.0,17180.0,16700.0,16985.0,2154.0,15996.814453125
2024-10-02,16760.0,17000.0,16585.0,16635.0,1568.0,15667.1767578125
2024-10-03,17000.0,17000.0,16440.0,16440.0,1718.0,15483.521484375
2024-10-04,16630.0,16920.0,16630.0,16865.0,1581.0,15883.794921875
2024-10-07,17300.0,17655.0,17295.0,17510.0,4094.0,16491.267578125
2024-10-08,17445.0,17445.0,17000.0,17075.0,953.0,16081.5771484375
2024-10-09,17270.0,17270.0,16965.0,17030.0,440.0,16039.1953125
2024-10-10,17295.0,17295.0,17110.0,17125.0,477.0,16128.66796875
2024-10-11,17125.0,17435.0,17125.0,17365.0,878.0,16354.7041015625
2024-10-15,17745.0,17850.0,17625.0,17665.0,2659.0,16637.251953125
2024-10-16,17295.0,17735.0,17295.0,17660.0,737.0,16632.541015625
2024-10-17,17785.0,17950.0,17775.0,17940.0,2514.0,16896.251953125
2024-10-18,18000.0,18210.0,17995.0,18045.0,2738.0,16995.142578125
2024-10-21,18100.0,18100.0,17775.0,17775.0,1436.0,16740.8515625
